total_negocios,empleados_promedio,pct_micro,num_sectores_distintos,pct_sector_informal,año_alta_promedio,pct_recientes_3a,pct_recientes_1a,zona_id,lat_centro,lon_centro,prob_formalizacion,score_100,nivel
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,39_266,19.877927927927864,-89.21442408433563,0.4476832873392588,44.8,Medio
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,51_339,19.9319819819819,-88.86227758586097,0.4476832873392588,44.8,Medio
1,0.0,1.0,1,0.0,2020.0,0.0,0.0,57_321,19.959009009008916,-88.94910822932047,0.41707872115160377,41.7,Medio
1,0.0,1.0,1,0.0,2019.0,0.0,0.0,62_209,19.98153153153143,-89.48938778862407,0.4980798268051684,49.8,Medio
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,63_334,19.986036036035934,-88.88639720904416,0.4476832873392588,44.8,Medio
1,0.0,1.0,1,0.0,2019.0,0.0,0.0,79_299,20.05810810810798,-89.05523457132654,0.4980798268051684,49.8,Medio
2,0.0,1.0,2,0.0,2016.5,0.0,0.0,80_298,20.062612612612483,-89.06005849596318,0.4656095530831852,46.6,Medio
3,0.0,1.0,3,0.0,2019.3333333333333,0.6666666666666666,0.0,80_299,20.062612612612483,-89.05523457132654,0.5327566454227878,53.3,Alto
26,0.0,1.0,7,0.0,2015.4615384615386,0.11538461538461539,0.0,80_300,20.062612612612483,-89.0504106466899,0.5965166645514994,59.7,Alto
2,0.0,1.0,2,0.0,2024.0,1.0,0.0,80_301,20.062612612612483,-89.04558672205326,0.5580561412394548,55.8,Alto
25,0.0,1.0,4,0.0,2018.12,0.24,0.0,81_298,20.067117117116986,-89.06005849596318,0.6562632223855771,65.6,Alto
54,0.0,1.0,7,0.0,2017.6296296296296,0.2777777777777778,0.0,81_299,20.067117117116986,-89.05523457132654,0.7270437896633309,72.7,Alto
71,0.0,1.0,10,0.0,2016.887323943662,0.2535211267605634,0.0,81_300,20.067117117116986,-89.0504106466899,0.5795971340464761,58.0,Alto
63,0.0,1.0,10,0.0,2019.2063492063492,0.42857142857142855,0.0,81_301,20.067117117116986,-89.04558672205326,0.596862159496548,59.7,Alto
