zona_id,lat_centro,lon_centro,total_negocios,empleados_promedio,pct_micro,num_sectores_distintos,pct_sector_informal,año_alta_promedio,pct_recientes_3a,pct_recientes_1a,nuevos_formalizados,alta_formalizacion
39_266,19.877927927927864,-89.21442408433563,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,1
51_339,19.9319819819819,-88.86227758586097,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,1
57_321,19.959009009008916,-88.94910822932047,1,0.0,1.0,1,0.0,2020.0,0.0,0.0,0,1
62_209,19.98153153153143,-89.48938778862407,1,0.0,1.0,1,0.0,2019.0,0.0,0.0,0,1
63_334,19.986036036035934,-88.88639720904416,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,1
79_299,20.05810810810798,-89.05523457132654,1,0.0,1.0,1,0.0,2019.0,0.0,0.0,0,1
80_298,20.062612612612483,-89.06005849596318,2,0.0,1.0,2,0.0,2016.5,0.0,0.0,0,1
80_299,20.062612612612483,-89.05523457132654,3,0.0,1.0,3,0.0,2019.3333333333333,0.6666666666666666,0.0,0,1
80_300,20.062612612612483,-89.0504106466899,26,0.0,1.0,7,0.0,2015.4615384615386,0.11538461538461539,0.0,0,1
80_301,20.062612612612483,-89.04558672205326,2,0.0,1.0,2,0.0,2024.0,1.0,0.0,0,1
81_298,20.067117117116986,-89.06005849596318,25,0.0,1.0,4,0.0,2018.12,0.24,0.0,0,1
81_299,20.067117117116986,-89.05523457132654,54,0.0,1.0,7,0.0,2017.6296296296296,0.2777777777777778,0.0,0,1
81_300,20.067117117116986,-89.0504106466899,71,0.0,1.0,10,0.0,2016.887323943662,0.2535211267605634,0.0,0,1
81_301,20.067117117116986,-89.04558672205326,63,0.0,1.0,10,0.0,2019.2063492063492,0.42857142857142855,0.0,0,1
81_302,20.067117117116986,-89.04076279741662,22,0.0,1.0,7,0.0,2018.909090909091,0.3181818181818182,0.045454545454545456,0,1
82_298,20.07162162162149,-89.06005849596318,34,0.0,1.0,6,0.0,2019.4411764705883,0.5,0.0,0,1
82_299,20.07162162162149,-89.05523457132654,150,0.0,1.0,12,0.0,2017.8733333333332,0.42,0.0,0,1
82_300,20.07162162162149,-89.0504106466899,234,0.0,1.0,17,0.0,2017.1837606837607,0.358974358974359,0.02564102564102564,0,1
82_301,20.07162162162149,-89.04558672205326,102,0.0,1.0,9,0.0,2017.3823529411766,0.3235294117647059,0.0,0,1
82_302,20.07162162162149,-89.04076279741662,16,0.0,1.0,7,0.0,2016.5625,0.3125,0.0,0,1
82_303,20.07162162162149,-89.03593887277998,2,0.0,1.0,2,0.0,2022.0,0.5,0.5,0,1
83_298,20.076126126125992,-89.06005849596318,10,0.0,1.0,5,0.0,2020.2,0.6,0.0,0,1
83_299,20.076126126125992,-89.05523457132654,75,0.0,1.0,4,0.0,2019.3733333333332,0.5866666666666667,0.0,0,1
83_300,20.076126126125992,-89.0504106466899,156,0.0,1.0,14,0.0,2018.7115384615386,0.4423076923076923,0.01282051282051282,0,1
83_301,20.076126126125992,-89.04558672205326,111,0.0,1.0,12,0.0,2018.3783783783783,0.36936936936936937,0.009009009009009009,0,1
83_302,20.076126126125992,-89.04076279741662,37,0.0,1.0,7,0.0,2018.2972972972973,0.4594594594594595,0.0,0,1
84_299,20.080630630630495,-89.05523457132654,34,0.0,1.0,8,0.0,2019.8235294117646,0.5882352941176471,0.0,0,1
84_300,20.080630630630495,-89.0504106466899,79,0.0,1.0,8,0.0,2019.0,0.4050632911392405,0.0,0,1
84_301,20.080630630630495,-89.04558672205326,45,0.0,1.0,6,0.0,2017.888888888889,0.26666666666666666,0.0,0,1
84_302,20.080630630630495,-89.04076279741662,6,0.0,1.0,2,0.0,2022.3333333333333,0.6666666666666666,0.0,0,1
85_299,20.085135135134998,-89.05523457132654,5,0.0,1.0,1,0.0,2019.0,0.4,0.0,0,1
85_300,20.085135135134998,-89.0504106466899,36,0.0,1.0,8,0.0,2019.861111111111,0.5,0.0,0,1
85_301,20.085135135134998,-89.04558672205326,10,0.0,1.0,4,0.0,2020.1,0.6,0.0,0,1
85_329,20.085135135134998,-88.91051683222736,1,0.0,1.0,1,0.0,2024.0,1.0,0.0,0,1
87_192,20.094144144144003,-89.57139450744694,1,0.0,1.0,1,0.0,2019.0,0.0,0.0,0,1
88_328,20.098648648648506,-88.915340756864,6,0.0,1.0,3,0.0,2015.8333333333333,0.16666666666666666,0.0,0,1
89_328,20.10315315315301,-88.915340756864,3,0.0,1.0,3,0.0,2016.0,0.3333333333333333,0.0,0,1
